Table 1: Victorians who died with or due to COVID-19 by age group and sex between 8 December 2021 and 21 February 2022,,,,
,,,,
Age group,Female,Male,Not stated,Total persons
30-39,< 5,< 5,0,5
40-49,8,4,0,12
50-59,16,20,0,36
60-69,21,43,0,64
70-79,68,146,2,216
80-89,131,214,5,350
90+,133,123,3,259
Unknown,0,0,< 5,< 5
Total,,,,943
,,,,
Table 2: Victorians who died with or due to COVID-19 by LGA between 8 December 2021 and 21 February 2022,,,,
,,,,
LGA,Deceased Cases,,,
Ballarat (C),9,,,
Banyule (C),22,,,
Bass Coast (S),< 5,,,
Baw Baw (S),< 5,,,
Bayside (C),21,,,
Benalla (RC),< 5,,,
Boroondara (C),19,,,
Brimbank (C),65,,,
Campaspe (S),< 5,,,
Cardinia (S),8,,,
Casey (C),56,,,
Central Goldfields (S),< 5,,,
Colac-Otway (S),< 5,,,
Darebin (C),51,,,
East Gippsland (S),5,,,
Frankston (C),23,,,
Gannawarra (S),< 5,,,
Glen Eira (C),23,,,
Golden Plains (S),< 5,,,
Greater Bendigo (C),5,,,
Greater Dandenong (C),37,,,
Greater Geelong (C),17,,,
Greater Shepparton (C),12,,,
Hepburn (S),< 5,,,
Hobsons Bay (C),21,,,
Hume (C),35,,,
Indigo (S),< 5,,,
Interstate,< 5,,,
Kingston (C) (Vic.),32,,,
Knox (C),20,,,
Latrobe (C) (Vic.),7,,,
Macedon Ranges (S),12,,,
Manningham (C),27,,,
Maribyrnong (C),15,,,
Maroondah (C),10,,,
Melbourne (C),15,,,
Melton (C),18,,,
Mildura (RC),< 5,,,
Mitchell (S),6,,,
Moira (S),< 5,,,
Monash (C),48,,,
Moonee Valley (C),16,,,
Moorabool (S),< 5,,,
Moreland (C),47,,,
Mornington Peninsula (S),22,,,
Murrindindi (S),< 5,,,
Nillumbik (S),7,,,
Northern Grampians (S),< 5,,,
Overseas,< 5,,,
Port Phillip (C),< 5,,,
Pyrenees (S),< 5,,,
Queenscliffe (B),< 5,,,
Southern Grampians (S),< 5,,,
Stonnington (C),12,,,
Surf Coast (S),< 5,,,
Swan Hill (RC),< 5,,,
Unknown,36,,,
Warrnambool (C),< 5,,,
Wellington (S),< 5,,,
Whitehorse (C),32,,,
Whittlesea (C),47,,,
Wodonga (C),< 5,,,
Wyndham (C),16,,,
Yarra (C),8,,,
Yarra Ranges (S),9,,,
Total Cases,943,,,
